📡 Loading graph from: data/youtube_data.db
Adding edge: 4BwHMnt_x04 -> FL0qnz55JH4
Adding edge: 4BwHMnt_x04 -> MdbfM6Lnsmo
Adding edge: 4BwHMnt_x04 -> 0eV9R3pVNcg
Adding edge: 4BwHMnt_x04 -> AcA6wKibT18
Adding edge: 4BwHMnt_x04 -> S68M4KX_6w8
Adding edge: 4BwHMnt_x04 -> 3yLoHdK3Xoc
Adding edge: 4BwHMnt_x04 -> UsZHQjCiKIA
Adding edge: 4BwHMnt_x04 -> UXNEW7jOSsY
Adding edge: 4BwHMnt_x04 -> oFRem2oUNYI
Adding edge: 4BwHMnt_x04 -> 4yYjeNxlu6U
Adding edge: OTYaN-FQtJQ -> b6a46Q8V_9c
Adding edge: OTYaN-FQtJQ -> WeF8fnRA_10
Adding edge: OTYaN-FQtJQ -> qRRfksZxLyc
Adding edge: OTYaN-FQtJQ -> ymvjfu_Hm_8
Adding edge: OTYaN-FQtJQ -> VlDTMIgGbRo
Adding edge: OTYaN-FQtJQ -> -z14nWFU7VU
Adding edge: OTYaN-FQtJQ -> -5k1ceo-ffE
Adding edge: OTYaN-FQtJQ -> _6cadjbwYe0
Adding edge: OTYaN-FQtJQ -> CWvsAtJtsWg
Adding edge: OTYaN-FQtJQ -> fIaUicQod2g
Adding edge: BQlPjnejpps -> Tg95OJbHmLI
Adding edge: BQlPjnejpps -> kpCPUJdFYPE
Adding edge: BQlPjnejpps -> ps3Wyw7Pd2Q
Adding edge: BQlPjnejpps -> b6a46Q8V_9c
Adding edge: BQlPjnejpps -> 0xihXAzral0
Adding edge: BQlPjnejpps -> FL0qnz55JH4
Adding edge: BQlPjnejpps -> 0eV9R3pVNcg
Adding edge: BQlPjnejpps -> KQtZdEZFJmw
Adding edge: BQlPjnejpps -> X74MRO70kMg
Adding edge: BQlPjnejpps -> EALkIUCExW0
Adding edge: Tg95OJbHmLI -> ccVLD8Lh0BQ
Adding edge: Tg95OJbHmLI -> T-HWw2pybfU
Adding edge: Tg95OJbHmLI -> S68M4KX_6w8
Adding edge: Tg95OJbHmLI -> NVH79ehGfY0
Adding edge: Tg95OJbHmLI -> PtEa-Ne_CJ0
Adding edge: Tg95OJbHmLI -> ZeLe1Ad47P4
Adding edge: Tg95OJbHmLI -> WeF8fnRA_10
Adding edge: Tg95OJbHmLI -> obLZ-yctYok
Adding edge: Tg95OJbHmLI -> khqe2J7HLBU
Adding edge: Tg95OJbHmLI -> OoOMHj07gIY
Adding edge: kpCPUJdFYPE -> z2u6-0lBKHQ
Adding edge: kpCPUJdFYPE -> Mc4t66r54dU
Adding edge: kpCPUJdFYPE -> NVH79ehGfY0
Adding edge: kpCPUJdFYPE -> uEk_pc0xVYc
Adding edge: kpCPUJdFYPE -> M9TK3yjktk8
Adding edge: kpCPUJdFYPE -> Bb1KNFEOFaA
Adding edge: kpCPUJdFYPE -> vry-jbymOIQ
Adding edge: kpCPUJdFYPE -> Fr48Wnw0uew
Adding edge: kpCPUJdFYPE -> BCFH2n-Op_I
Adding edge: kpCPUJdFYPE -> vitX5zzaV2s
Adding edge: ps3Wyw7Pd2Q -> zZcXdcIPlyU
Adding edge: ps3Wyw7Pd2Q -> NVH79ehGfY0
Adding edge: ps3Wyw7Pd2Q -> xPEV1XTy_uk
Adding edge: ps3Wyw7Pd2Q -> mmL4kosieGs
Adding edge: ps3Wyw7Pd2Q -> ZeLe1Ad47P4
Adding edge: ps3Wyw7Pd2Q -> svQOVq1h_8M
Adding edge: ps3Wyw7Pd2Q -> cIY95KCnnNk
Adding edge: ps3Wyw7Pd2Q -> ccVLD8Lh0BQ
Adding edge: ps3Wyw7Pd2Q -> 3lar1hvS-TU
Adding edge: ps3Wyw7Pd2Q -> ZFIDK2E3-00
Adding edge: b6a46Q8V_9c -> khqe2J7HLBU
Adding edge: b6a46Q8V_9c -> FcMxS0cR6_o
